第一次,第二次
"近义词汉语:丘,片,块,畈俄语近义词汉语:派,片,番俄语近义词汉语:少,少数,个别,零星,点滴,稀,寡,鲜,半,两,片,无几,有数,有限,一二,区区,半点,一丝,星星,少许,些微,些许,蝇头,单薄,简单,寥落,一点儿,这么点儿,那么点儿,一丁点儿,三三两两,星星点点,一把子,一定量,一星半点,点儿,丁点儿,少于,甚微俄语近义词汉语:部分,有些,有的,有,局部,片,片段,一部分,一对,一些,组成部分,有点儿葡萄牙语近义词汉语:切片,片,切除,切开,切块德语","近义词汉语:丘,片,块,畈俄语:холм,горка德语:Vorname,Abwurfstelle(近义词汉语:派,片,番俄语:группировка,партия,фракция,школа法语:doctrine,école德语:Clique,Gruppe,entsenden,abfertigen,schicken(近义词汉语:少,少数,个别,零星,点滴,稀,寡,鲜,半,两,片,无几,有数,有限,一二,区区,半点,一丝,星星,少许,些微,些许,蝇头,单薄,简单,寥落,一点儿,这么点儿,那么点儿,一丁点儿,三三两两,星星点点,一把子,一定量,一星半点,点儿,丁点儿,少于,甚微俄语:мало,немного,редко葡萄牙语:pouco,pequeno法语:peu,jeune德语:jung,Nachwuchs...,wenig,wenige西班牙语:escasez,menos,parquedad,poco英语:alittlewhile,few,fewness,lack,little,lose,young5部分近义词汉语:部分,有些,有的,有,局部,片,片段,一部分,一对,一些,组成部分,有点儿葡萄牙语:segmentário,segmentar,segmento,parte法语:partie,part英语:part,section,portion,proportion,sect,segment,share西班牙语:departamento,fracción,miembro,parte,pedazo,porción,sección,sector反义词汉语:全体,整体,全部,整个,一切6切片近义词汉语:切片,片,切除,切开,切块德语:Prozessorelement,schneiden,Brotscheibe,Segment查看关于片的反义词>>("
"近义词汉语:架,台,部,台数俄语近义词汉语:骨架,骨子,龙骨,骨,架,架子,骨头架子德语近义词汉语:架设,架,搭,架构德语近义词汉语:绑架,绑票,架,劫持西班牙语","近义词汉语:架,台,部,台数俄语:полка,этажерка,подставка,вешалка法语:support,charpente,dispute德语:Gestell,Streit,ZähleinheitswortfürMaschinenz.B.Flugzeug,Klavier英语:fight,frame,kidnap,putup,rack,support,withstand2骨架近义词汉语:骨架,骨子,龙骨,骨,架,架子,骨头架子德语:Gerippe,Skelett,Gestell,Gerüst英语:framework,skeleton3架设近义词汉语:架设,架,搭,架构德语:montiert,Montage,Neumontage,montieren法语:installer,poser英语:erect,span4绑架近义词汉语:绑架,绑票,架,劫持西班牙语:secuestrar,secuestro法语:enlever,kidnapper反义词汉语:逃脱查看关于架的反义词>>("
"近义词汉语:破烂,破碎,破损,破败,破绽,褴褛,麻花,烂,破,败,敝,百孔千疮,千疮百孔,破烂儿,破破烂烂,破相,烂乎乎,破烂不堪俄语","近义词汉语:破烂,破碎,破损,破败,破绽,褴褛,麻花,烂,破,败,敝,百孔千疮,千疮百孔,破烂儿,破破烂烂,破相,烂乎乎,破烂不堪俄语:старьё,хлам英语:frazzle,rinky-dink葡萄牙语:esfarrapado,vestidodetrapos德语:dilettantisch,struppig,Ramsch,abtragen,abwetzen,ramponiert西班牙语:cachivache,porquería反义词汉语:整洁,完美查看关于麻花的反义词>>("
"近义词汉语:劳动,劳,服务,劳务俄语","近义词汉语:劳动,劳,服务,劳务俄语:труд,трудиться,работать,трудовой西班牙语:labor,trabajar,trabajo英语:labor,labour,physicallabor,work,working,yakka("
"近义词汉语:辛酸,酸辛,心酸,酸溜溜,苦涩,寒心法语","近义词汉语:辛酸,酸辛,心酸,酸溜溜,苦涩,寒心法语:douloureux,triste,peiné反义词汉语:喜悦,甜美,甜蜜查看关于辛酸的反义词>>("
"近义词汉语:官吏,臣子,臣僚,臣,官,吏,官长,官僚,官府,父母官,群臣,官儿,官宦,命官,地方官,官爵英语","近义词汉语:官吏,臣子,臣僚,臣,官,吏,官长,官僚,官府,父母官,群臣,官儿,官宦,命官,地方官,官爵英语:bureaucracy,placeman反义词汉语:百姓查看关于臣的反义词>>("
"近义词汉语:暖,温,暖和,和暖,和煦,温煦,晴和,和畅,融融,温暖,温和,温暾,暖烘烘,暖洋洋,风和日暖,风和日丽,采暖,暖融融,煦,暖乎乎,温软,温暖如春俄语近义词汉语:高兴,开心,愉快,欢快,称快,快活,快乐,欢乐,欢娱,欢愉,欢欣,欢喜,喜欢,欣喜,欣然,怡然,陶然,愉悦,融融,乐意,乐,欢,喜,快,欣,怡,乐陶陶,乐滋滋,乐呵呵,乐悠悠,乐融融,喜冲冲,喜滋滋,喜洋洋,喜气洋洋,兴冲冲,甜丝丝,美丝丝,美滋滋,欢欣鼓舞,赏心悦目,如获至宝,僖,高高兴兴,逸乐,欣悦,悦,欣欣然,快快乐乐,欢欢喜喜,欢悦,喜悦,先睹为快,其乐融融,撒欢,暗喜,为之一喜,恺葡萄牙语","近义词汉语:暖,温,暖和,和暖,和煦,温煦,晴和,和畅,融融,温暖,温和,温暾,暖烘烘,暖洋洋,风和日暖,风和日丽,采暖,暖融融,煦,暖乎乎,温软,温暖如春俄语:тёплый,тепло英语:warm,warmup德语:erwärmen,erwärmen,warm法语:chaud,doux2高兴近义词汉语:高兴,开心,愉快,欢快,称快,快活,快乐,欢乐,欢娱,欢愉,欢欣,欢喜,喜欢,欣喜,欣然,怡然,陶然,愉悦,融融,乐意,乐,欢,喜,快,欣,怡,乐陶陶,乐滋滋,乐呵呵,乐悠悠,乐融融,喜冲冲,喜滋滋,喜洋洋,喜气洋洋,兴冲冲,甜丝丝,美丝丝,美滋滋,欢欣鼓舞,赏心悦目,如获至宝,僖,高高兴兴,逸乐,欣悦,悦,欣欣然,快快乐乐,欢欢喜喜,欢悦,喜悦,先睹为快,其乐融融,撒欢,暗喜,为之一喜,恺葡萄牙语:prazer,aprazível,aprazer,alegre,alegria,alegrar,deleite法语:gai,content,joyeux,heureux德语:froh,heiter,glücklich,sichfreuen,sichfreuen,mitVergnügen西班牙语:complacencia,gozar,humor,ilusión,placer,regocijo英语:bedelightedwith,joy,liftupone'shead,rejoice反义词汉语:忧愁,沮丧,痛苦,扫兴,苦恼,伤心,发愁,生气,难过,败兴,悲伤,烦闷查看关于融融的反义词>>("
"近义词汉语:豆,豆子,菽,豆瓣,豆类俄语","近义词汉语:豆,豆子,菽,豆瓣,豆类俄语:бобы,бобовые,соя,соевый法语:légumineux,haricot,pois德语:Bohne,Leguminose,Bohne英语:bean,legume("
"近义词汉语:苹果,苹,柰,香蕉苹果法语","近义词汉语:苹果,苹,柰,香蕉苹果法语:pommier,pomme西班牙语:manzana,poma,vaina德语:Apfel,Äpfel("
"近义词汉语:针织,针织物","近义词汉语:针织,针织物德语:stricken,weben("
"近义词汉语:滚珠轴承,球轴承,滚柱轴承,滚动轴承,滚针轴承,滑动轴承,轴承,空气轴承","近义词汉语:滚珠轴承,球轴承,滚柱轴承,滚动轴承,滚针轴承,滑动轴承,轴承,空气轴承("
"近义词汉语:备件,附件,配件,零配件,构配件","近义词汉语:备件,附件,配件,零配件,构配件("
"近义词汉语:一行,一条龙,一溜儿,一人班,单排俄语","近义词汉语:一行,一条龙,一溜儿,一人班,单排俄语:компания,вкомпании法语:groupe,délégation,suite德语:Fete,Gesellschaft,YiXing("
"近义词汉语:现代,当代,现世,今世,现当代,现时代德语","近义词汉语:现代,当代,现世,今世,现当代,现时代德语:moderneZeit,Gegenwart,Neuzeit反义词汉语:上古,古代,传统,古老,远古查看关于现代的反义词>>("
"近义词汉语:枫,枫树,枫香树","近义词汉语:枫,枫树,枫香树("
"近义词汉语:绿,碧,翠,碧绿,青绿,青翠,青葱,苍翠,翠绿,绿油油,绿茸茸,碧油油,翠绿色,绿茵茵,绿莹莹,铺锦叠翠,滴翠,青翠欲滴,叠翠英语","近义词汉语:绿,碧,翠,碧绿,青绿,青翠,青葱,苍翠,翠绿,绿油油,绿茸茸,碧油油,翠绿色,绿茵茵,绿莹莹,铺锦叠翠,滴翠,青翠欲滴,叠翠英语:green,viridescence("
"近义词汉语:檀,青檀,檀木","近义词汉语:檀,青檀,檀木("
"近义词汉语:基础,根基,根底,功底,底工,底子,幼功,基本功,底蕴,础俄语近义词汉语:地基,基础,根脚,根基,地脚法语近义词汉语:根本,基本,本,基础,基业,基石,木本,水源,内核俄语","近义词汉语:基础,根基,根底,功底,底工,底子,幼功,基本功,底蕴,础俄语:основа,база,фундамент,устои,базис葡萄牙语:escorar,substrato,rudimentar,rudimento,base,fundamental,fundamento,básico,basal英语:base,foundation,elements,radical,root,substructure法语:base,fondement德语:Base,Bettrost,Etappe,Element,Gründung,Grundlage,Institution,Rudiment,basiert,elementar,grundlegend西班牙语:alimento,basa,base,cimiento,elemento,entibo,infraestructura,pedestal,pie,principio,puntal反义词汉语:尖端,顶端2地基近义词汉语:地基,基础,根脚,根基,地脚法语:sol,fondations,bases英语:foundation,ground,groundwork西班牙语:cimiento,fundamento德语:Aufstellungsort,Base,Baugrundstück,Bettrost,Etappe,Fundament,Planum,Unterbausohle3根本近义词汉语:根本,基本,本,基础,基业,基石,木本,水源,内核俄语:основа,корень,основной,коренной英语:fundamentality,root,ultimate法语:fondanental,essentiel德语:Basis,grundlegend,grundsätzlich,fundamental反义词汉语:关键,枝节,主要查看关于基础的反义词>>("
"近义词汉语:白,粉,霜,银,雪,素,缟,皓,皑皑,洁白,雪白,粉白,乳白,白净,皎洁,凝脂,白花花,白晃晃,白茫茫,白不呲咧,白皑皑,白乎乎,白净净,细白,嫩白,颢俄语","近义词汉语:白,粉,霜,银,雪,素,缟,皓,皑皑,洁白,雪白,粉白,乳白,白净,皎洁,凝脂,白花花,白晃晃,白茫茫,白不呲咧,白皑皑,白乎乎,白净净,细白,嫩白,颢俄语:белый,седой德语:Schnapps,Weisswein,weiß,hell,weiß,rein,vergebens,kostenlos英语:clear,freeofcharge,invain,pure,white,whiteness西班牙语:blancura,canicie法语:blanc,blanche,gratuit2酒杯近义词汉语:酒杯,酒盅,觞,白,觥,觚,樽("
"近义词汉语:经典,经,经典著作俄语","近义词汉语:经典,经,经典著作俄语:классика,классический,произведения,классический英语:classics,scriptures,sutra2经书近义词汉语:经书,经籍,经,经典,典籍,大藏经,真经,经卷3经文近义词汉语:经文,经典,经,藏("
"近义词汉语:赋闲,休闲,优游,闲适,闲散,恬淡,悠忽,悠悠忽忽,无所事事,优哉游哉,清风明月,轮空,穷极无聊,闲心,闲雅,野鹤闲云,悠然自得,赏月英语","近义词汉语:赋闲,休闲,优游,闲适,闲散,恬淡,悠忽,悠悠忽忽,无所事事,优哉游哉,清风明月,轮空,穷极无聊,闲心,闲雅,野鹤闲云,悠然自得,赏月英语:beunemployed,dally法语:avoirdesloisirsforcés,setrouversansemploi反义词汉语:繁忙查看关于休闲的反义词>>("
"近义词汉语:松,泡,糠,暄,蓬,松软,松弛,松散,稀松,平松,蓬松,尨茸,弛懈,宽松俄语近义词汉语:松散,疏松,稀松,废弛,松,散,松松垮垮,松气,松松散散俄语近义词汉语:富裕,富有,有钱,殷实,富贵,趁钱,富足,富庶,丰足,富饶,丰饶,穰穰,丰盈,丰裕,丰厚,厚实,优裕,余裕,宽裕,充盈,红火,富,宽,松,从容,方便,松动,活络,宽绰,有余,绰有余裕,绰绰有余,家给人足,丰衣足食,万贯家财,腰缠万贯,堆金积玉,金玉满堂,荣华富贵,财大气粗,富国,极富葡萄牙语近义词汉语:解,松,褪,解开,肢解俄语近义词汉语:放松,松劲,松,放宽,松扣法语","近义词汉语:松,泡,糠,暄,蓬,松软,松弛,松散,稀松,平松,蓬松,尨茸,弛懈,宽松俄语:сосна,сосновый德语:verlassen,locker,Kiefer,verlassen,locker英语:loose,looseness,nothardup,pine,relax,soft2松散近义词汉语:松散,疏松,稀松,废弛,松,散,松松垮垮,松气,松松散散俄语:разбросанный,несобранный法语:lâche,traînant,délassant,relaxant,inattentif德语:ausruhen,abspannen,verlassen,locker,zusammenhanglos3富裕近义词汉语:富裕,富有,有钱,殷实,富贵,趁钱,富足,富庶,丰足,富饶,丰饶,穰穰,丰盈,丰裕,丰厚,厚实,优裕,余裕,宽裕,充盈,红火,富,宽,松,从容,方便,松动,活络,宽绰,有余,绰有余裕,绰绰有余,家给人足,丰衣足食,万贯家财,腰缠万贯,堆金积玉,金玉满堂,荣华富贵,财大气粗,富国,极富葡萄牙语:rico,opulento,opulência,enriquecimento,enriquecer,afluente,afluência法语:riche,aisé英语:heavypurse,affluence,richness,wealth德语:erfolgreich,glücklich,Freigebigkeit,Prosperität,Wohlstand,reichlich西班牙语:abundancia,opulencia反义词汉语:缺欠,贫苦,清贫,拮据,清苦,贫窭,贫困,困乏,贫乏,穷困,贫寒,穷乏,贫穷4解近义词汉语:解,松,褪,解开,肢解俄语:развязать,расстегнуть,расшнуровать法语:séparer,dénouer,défaire,soulager,expliquer,comprendre英语:dispel,divide,separate,solution,explain,relieveoneself,sendunderguard,unbind,uncoil,understand德语:auflockern,lockern,aufbinden,aufschnüren,aufteilen,spalten,beenden,auflösen,darlegen,erklären,emanzipieren,trennen,ausscheiden,Lösung5放松近义词汉语:放松,松劲,松,放宽,松扣法语:relâcher,détendre英语:relax,release,ease,loosen,slacken,surge,unbend,unfasten西班牙语:aflojar,arriar,desapretar,relajación,relajar德语:Abreaktion,Entspannung,Erholung,Erholungsreise,Erholungsurlaub,Erleichterung,Lockerung,Rast,lockern,mildern,relaxen,entspannen,locker,mildernd反义词汉语:加强,抓紧,加紧,勒紧查看关于松的反义词>>("
"近义词汉语:珍珠,真珠,珠子,珠,串珠葡萄牙语","近义词汉语:珍珠,真珠,珠子,珠,串珠葡萄牙语:perolado,pérola西班牙语:margarita,perla("
"近义词汉语:板,板结,板实汉语:板,板子,板材,板坯俄语","近义词汉语:板,板结,板实汉语:板,板子,板材,板坯俄语:доска,плита,лист法语:planche,plaque,tôle西班牙语:placa,plancha德语:Board,Bohle,Brett,Klappe,Spielbrett,Chef,Chefin,Oberhaupt英语:bat,board,plank("
"近义词汉语:结构,构造,组织,布局法语","近义词汉语:结构,构造,组织,布局法语:structure,composition德语:gliedern,strukturieren,Ausführung,Fabel,Format,framework,Gestalt,Struktur,Textur,Tragwerk,gestalten,gestaltet,konstruktiv英语:frame,structure,composition,configuration,construction,fabric,mechanism葡萄牙语:estrutura,estrutural西班牙语:constitución,contexto,contextura,estructura,tenor("
"近义词汉语:安装,装置,设置,安设,安,装,安上德语","近义词汉语:安装,装置,设置,安设,安,装,安上德语:installiert,Aufstellung,Einstellung,Einweisung,Installation,Neumontage,installieren,richten法语:installer,monter,placer葡萄牙语:instalação,instalar西班牙语:instalación,instalar,montaje,montar,montura,poner英语:fit,fix,install反义词汉语:拆除,拆卸查看关于安装的反义词>>("
"近义词汉语:叠,沓,摞汉语:叠,折,折叠,沁,佴,矗起俄语","近义词汉语:叠,沓,摞汉语:叠,折,折叠,沁,佴,矗起俄语:нагромождать,складыватьвстопку,стопка英语:fold,furl,pileup,repeat法语:entasser,superposer,plier("
"近义词汉语:带,带子,绦,绦子,缨俄语近义词汉语:佩带,佩,带,别,佩戴,身着,着装,安全带,配戴英语近义词汉语:带路,引路,领路,领道,向导,先导,前导,引导,指引,带领,带,领,引,导,指路俄语近义词汉语:引导,指引,引,导,带,因势利导,指点迷津法语近义词汉语:携带,随带,拖带,带,携,挈,牵,挟带,带走,带入,携家带口,捎德语近义词汉语:带动,牵动,带,带来,拉动英语","近义词汉语:带,带子,绦,绦子,缨俄语:лента,пояс,ремень西班牙语:franja,portar,porte法语:ceinture,bande,ruban,pneu,zone英语:belt,bring,strap,strip,take,wear2佩带近义词汉语:佩带,佩,带,别,佩戴,身着,着装,安全带,配戴英语:gird,wear3带路近义词汉语:带路,引路,领路,领道,向导,先导,前导,引导,指引,带领,带,领,引,导,指路俄语:указыватьдорогу,вести法语:guiderenchemin,piloter英语:actasaguide,leadtheway,showtheway4引导近义词汉语:引导,指引,引,导,带,因势利导,指点迷津法语:conduire,guider英语:channel,conduct,guide,induct,lead,pilot,steer,usher西班牙语:canalizar,conducción,conducir,encaminar,llevar,orientar德语:Betreibung,Einführung,Einleitung,Leitung,weise,führen,weisen5携带近义词汉语:携带,随带,拖带,带,携,挈,牵,挟带,带走,带入,携家带口,捎德语:portierbar,tragbar,Abruf,tragen法语:portersursoi,emporter西班牙语:llevada,llevar英语:carry,schlep,takealong,tote6带动近义词汉语:带动,牵动,带,带来,拉动英语:bringalong,drive德语:anspornen,beflügeln,lenken,antreiben("
